id,heure,commune,sex,categorie
166,7:24,Treichville,Multiple,Non précisé
167,17:54,Treichville,Non précisé,Non précisé
168,16:47,Treichville,Non précisé,Adolescent
169,12:57,Treichville,Femme,Enfant
170,21:14,Treichville,Non précisé,Non précisé
171,17:32,Treichville,Non précisé,Enfant
172,15:26,Treichville,Non précisé,Non précisé
173,16:26,Treichville,Homme,Adulte
174,12:52,Treichville,Non précisé,Non précisé
175,13:57,Treichville,Multiple,Adolescent
176,19:06,Abobo,Non précisé,Non précisé
177,10:00,Treichville,Homme,Adulte
178,Non précisée,Treichville,Non précisé,Non précisé
179,Non précisée,Treichville,Femme,Adolescent
180,Non précisée,Abobo,Femme,Adolescent
181,Non précisée,Treichville,Homme,Adolescent
182,Non précisée,Treichville,Non précisé,Adolescent
183,Non précisée,Treichville,Femme,Adolescent
184,8:33,Yopougon,Non précisé,Non précisé
185,14:15,Yopougon,Homme,Adulte
186,23:01,Yopougon,Homme,Adulte
187,15:11,Yopougon,Femme,Enfant
188,13:23,Yopougon,Femme,Adolescent
189,21:33,Abobo,Non précisé,Non précisé
190,13:36,Yopougon,Non précisé,Non précisé
191,8:58,Yopougon,Non précisé,Non précisé
192,11:28,Yopougon,Homme,Adulte
193,13:24,Yopougon,Non précisé,Non précisé
194,10:23,Yopougon,Homme,Adulte
195,19:31,Yopougon,Non précisé,Non précisé
196,9:28,Yopougon,Homme,Adolescent
197,14:03,Yopougon,Non précisé,Adolescent
198,13:54,Yopougon,Non précisé,Adolescent
199,20:19,Yopougon,Non précisé,Non précisé
200,13:41,Yopougon,Homme,Adulte
201,0:40,Yopougon,Homme,Adulte
202,22:36,Yopougon,Non précisé,Adolescent
203,9:44,Yopougon,Non précisé,Non précisé
204,18:22,Yopougon,Non précisé,Non précisé
205,21:15,Yopougon,Femme,Adulte
206,8:22,Yopougon,Non précisé,Non précisé
207,20:30,Abobo,Non précisé,Adolescent
208,20:16,Yopougon,Multiple,Non précisé
209,14:38,Yopougon,Non précisé,Non précisé
210,13:05,Yopougon,Homme,Adulte
211,21:28,Abobo,Non précisé,Non précisé
212,23:59,Yopougon,Non précisé,Enfant
213,8:11,Yopougon,Homme,Enfant
